#time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
6040	663186	11775962673
6050	664245	11803295885
6060	665850	11830098857
6070	668447	11866327823
6080	668454	11866336100
6090	671178	11894031332
6100	674101	11943808010
6110	676978	11983138405
6120	679561	12037690653
6130	679856	12038753382
6140	680920	12058738111
6150	683829	12104394936
6160	687612	12164206920
6170	691002	12216194032
6180	695417	12271100649
6190	700251	12327281981
6200	703731	12383825840
6210	706808	12440468641
6220	708147	12447635475
6230	708150	12447643493
6240	708158	12447652019
6250	708162	12447659878
6260	708166	12447668767
6270	708169	12447677062
6280	710432	12470971458
6290	711858	12498879052
6300	714843	12544915482
6310	718811	12597138601
6320	723840	12651473179
6330	727406	12707102644
6340	730474	12764019990
6350	735208	12818112836
6360	739384	12872530874
6370	743188	12925892323
6380	746357	12981147952
6390	749903	13035822060
6400	753802	13090308997
6410	756873	13144916061
6420	760052	13200509906
6430	763667	13258790000
6440	767461	13313725822
6450	767984	13319629376
6460	767995	13319638664
6470	767998	13319647239
6480	768001	13319655065
6490	768006	13319662868
6500	768009	13319670694
6510	768012	13319678449
6520	768015	13319686194
6530	768019	13319693981
6540	768022	13319701714
6550	768025	13319709454
6560	768029	13319717330
6570	768032	13319725185
6580	768035	13319732949
6590	768039	13319740704
6600	768042	13319748299
6610	768045	13319756130
6620	768048	13319763958
6630	768051	13319771671
6640	768055	13319779445
6650	768059	13319787236
6660	768062	13319794978
6670	768065	13319802646
6680	768070	13319810173
6690	770742	13339921293
6700	772434	13375176817
6710	776419	13419179621
6720	778542	13445976312
6730	778546	13445985075
6740	778549	13445992876
6750	778553	13446000669
6760	778558	13446009341
6770	779429	13457888073
6780	782160	13483916155
6790	787558	13527684468
6800	797727	13579890678
6810	804698	13635033060
6820	808144	13691019639
6830	810741	13733080169
6840	810750	13733090764
6850	810755	13733099118
6860	810758	13733107708
6870	810761	13733115769
6880	810764	13733123616
6890	810767	13733131205
6900	812029	13753221536
6910	812267	13757409284
6920	812271	13757417001
6930	812732	13764541909
6940	813613	13784546988
6950	815018	13824785551
6960	816061	13847916606
6970	816584	13861300313
6980	817109	13869993327
6990	817810	13891431497
7000	818321	13895658932
7010	819091	13916831100
7020	819820	13937323586
7030	820102	13939839567
7040	820105	13939847251
7050	820109	13939855024
7060	820113	13939862705
7070	821219	13962759291
7080	823193	14000956328
7090	825221	14043253537
7100	828878	14098493757
7110	832419	14153545528
7120	835736	14208435720
7130	836156	14212505122
7140	836162	14212513075
7150	837122	14231632148
7160	837896	14248673670
7170	838525	14263043738
7180	839262	14282185301
7190	840162	14303057873
7200	840166	14303066002
7210	840499	14307321696
7220	841104	14327941114
7230	842637	14364478067
7240	843902	14397607203
7250	844879	14420155410
7260	844882	14420163366
7270	844886	14420171061
7280	844889	14420178785
7290	844893	14420186534
7300	844897	14420194251
7310	844900	14420201925
7320	846229	14442270052
7330	846905	14463547587
